Questions;type
What are the latitudinal and longitudinal extent of India?;WH
Who is the president of india?;WH
Who is the Prime Minsiter fo india?;WH
Which state launch a project that aims to provide free internet access to the poor in the State?;WH
The National Aeronautics and Space Administration renamed its Wide Field Infrared Survey Telescope as?;WH
Who is first cricketer to score 1000 runs in an innings?;WH
According to international standard, what is the distance of marathon race?;WH
Beighton Cup is associated with which sports?;WH
Which is India's first mapping satellite?;WH
Who is said to be the father of Indian Space Programme?;WH
Is she working very hard?;YN
Does that taste okay?;YN
Have they eaten yet?;YN
Could you help me lift this?;YN
Were they travelling together?;YN
Did you go to the concert?;YN
Had they visited Rome before?;YN
Should I open the window?;YN
Did you like disco music in the 70s?;YN
Do you usually walk to work?;YN
did you go fishing today?;YN
Has Jason had breakfast?;YN
Won’t you stay for dinner?;YN
Can you buy eggs by the dozen?;YN
If you were a shark, would you eat fish?;YN
Is a brick heavier than a feather?;YN
Who were you talking to?;WH
Why were you late?;WH
How much does it cost?;WH
Whose car is that?;WH
Which do you prefer, tea or coee?;WH
How do I get to the station?;WH
What is the most popular food in China?;WH
Where are you from?;WH
Who is your favorite actor?;WH
What do you want to eat for dinner?;WH
Why didn’t he come to the party?;WH
Who didn’t finish their homework?;WH
What didn’t you like about the movie?;WH
When does the movie start?;WH
Have you ever visited Paris?;YN
Will you come to college today?;YN
Have you eaten the dinner?;YN
Should I go to bangalore?;YN
Are you on linkedin?;YN
Did you make this on your own?;YN
Is this series correct?;YN
Isn't light a wave?;YN
How to write code in Javascript?;WH
Will you write this code in JS?;YN
How is it going?;WH
Where are we going?;WH
Is Mumbai in Maharastra?;YN
Why are you still here?;WH
Why are you still here?;WH
